Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2897.6201171875,2897.6201171875,2886.429931640625,2894.550048828125,2894.550048828125,0
2010-01-05,2894.550048828125,2923.909912109375,2894.550048828125,2920.280029296875,2920.280029296875,0
2010-01-06,2920.280029296875,2937.97998046875,2919.739990234375,2930.489990234375,2930.489990234375,0
2010-01-07,2930.489990234375,2945.06005859375,2901.239990234375,2913.25,2913.25,0
2010-01-08,2913.25,2932.719970703125,2909.409912109375,2922.760009765625,2922.760009765625,0
2010-01-11,2922.760009765625,2947.080078125,2922.760009765625,2933.530029296875,2933.530029296875,0
2010-01-12,2933.530029296875,2943.06005859375,2915.7900390625,2916.110107421875,2916.110107421875,0
2010-01-13,2916.110107421875,2916.110107421875,2883.760009765625,2888.3798828125,2888.3798828125,0
2010-01-14,2888.3798828125,2925.330078125,2888.3798828125,2909.52001953125,2909.52001953125,0
2010-01-15,2909.52001953125,2921.419921875,2906.2900390625,2908.419921875,2908.419921875,0
2010-01-18,2908.419921875,2918.989990234375,2897.489990234375,2912.02001953125,2912.02001953125,0
2010-01-19,2912.02001953125,2926.27001953125,2906.139892578125,2912.919921875,2912.919921875,0
2010-01-20,2912.919921875,2935.840087890625,2893.1298828125,2893.1298828125,2893.1298828125,0
2010-01-21,2893.1298828125,2893.1298828125,2850.97998046875,2850.97998046875,2850.97998046875,0
2010-01-22,2850.97998046875,2850.97998046875,2791.570068359375,2819.7099609375,2819.7099609375,0
2010-01-25,2819.7099609375,2819.7099609375,2789.06005859375,2811.7099609375,2811.7099609375,0
2010-01-26,2811.7099609375,2822.090087890625,2740.330078125,2740.330078125,2740.330078125,0
2010-01-27,2740.330078125,2763.3798828125,2706.260009765625,2706.260009765625,2706.260009765625,0
2010-01-28,2706.260009765625,2763.360107421875,2706.260009765625,2757.679931640625,2757.679931640625,0
2010-01-29,2757.679931640625,2757.679931640625,2719.47998046875,2745.35009765625,2745.35009765625,0
2010-02-01,2745.35009765625,2745.5400390625,2724.0400390625,2736.169921875,2736.169921875,0
2010-02-02,2736.169921875,2767.429931640625,2720.8701171875,2720.8701171875,2720.8701171875,0
