Date,Open,High,Low,Close,Adj Close,Volume,Signal
2015-06-04,3344.1298828125,3361.590087890625,3339.030029296875,3345.0,3345.0,316871100,0
2015-06-05,3345.6298828125,3349.010009765625,3326.840087890625,3333.669921875,3333.669921875,238785300,0
2015-06-08,3326.3701171875,3333.989990234375,3318.280029296875,3320.330078125,3320.330078125,173852900,0
2015-06-09,3316.9599609375,3330.320068359375,3295.1298828125,3295.1298828125,3295.1298828125,281943600,0
2015-06-10,3296.60009765625,3337.1298828125,3294.31005859375,3325.77001953125,3325.77001953125,219022200,0
2015-06-11,3338.300048828125,3358.77001953125,3336.669921875,3347.669921875,3347.669921875,358061700,0
2015-06-12,3350.77001953125,3358.4599609375,3343.81005859375,3353.85009765625,3353.85009765625,306971100,0
2015-06-15,3338.10009765625,3343.840087890625,3309.489990234375,3323.1298828125,3323.1298828125,249030500,0
2015-06-16,3311.93994140625,3311.93994140625,3291.06005859375,3298.090087890625,3298.090087890625,202882300,0
2015-06-17,3315.219970703125,3346.02001953125,3311.800048828125,3325.909912109375,3325.909912109375,264453200,0
2015-06-18,3324.159912109375,3326.050048828125,3299.2900390625,3300.419921875,3300.419921875,168344400,0
2015-06-19,3319.9599609375,3320.2099609375,3299.64990234375,3300.9599609375,3300.9599609375,205394600,0
2015-06-22,3313.06005859375,3330.590087890625,3311.1201171875,3315.1298828125,3315.1298828125,174052400,0
2015-06-23,3328.389892578125,3343.830078125,3323.260009765625,3339.780029296875,3339.780029296875,201304800,0
2015-06-24,3348.010009765625,3361.0400390625,3338.739990234375,3351.330078125,3351.330078125,226753400,0
2015-06-25,3346.889892578125,3358.239990234375,3343.469970703125,3349.8701171875,3349.8701171875,184843100,0
2015-06-26,3346.300048828125,3353.590087890625,3320.06005859375,3320.89990234375,3320.89990234375,190576300,0
2015-06-29,3277.89990234375,3290.6298828125,3267.679931640625,3280.179931640625,3280.179931640625,215454000,0
2015-06-30,3283.77001953125,3326.239990234375,3281.300048828125,3317.330078125,3317.330078125,270177600,0
2015-07-01,3317.469970703125,3342.0400390625,3311.030029296875,3331.139892578125,3331.139892578125,165755800,0
2015-07-02,3354.820068359375,3357.949951171875,3326.360107421875,3327.840087890625,3327.840087890625,173471100,0
2015-07-03,3331.030029296875,3348.300048828125,3328.989990234375,3342.72998046875,3342.72998046875,131999200,0
2015-07-06,3319.929931640625,3334.7900390625,3307.260009765625,3332.93994140625,3332.93994140625,174041600,0
2015-07-07,3342.199951171875,3346.47998046875,3327.699951171875,3340.929931640625,3340.929931640625,204421900,0
2015-07-08,3329.989990234375,3335.3701171875,3274.22998046875,3284.989990234375,3284.989990234375,349488100,0
2015-07-09,3261.169921875,3289.280029296875,3249.889892578125,3267.39990234375,3267.39990234375,257116900,0
2015-07-10,3275.0,3291.409912109375,3272.590087890625,3279.8798828125,3279.8798828125,185123300,0
2015-07-13,3298.280029296875,3316.3701171875,3290.110107421875,3311.219970703125,3311.219970703125,151685700,0
2015-07-14,3321.590087890625,3330.22998046875,3309.280029296875,3316.5,3316.5,0,0
2015-07-15,3323.280029296875,3342.330078125,3322.1201171875,3338.860107421875,3338.860107421875,157448600,0
2015-07-16,3351.4599609375,3358.090087890625,3345.760009765625,3353.449951171875,3353.449951171875,195164700,0
2015-07-20,3370.0,3376.22998046875,3361.320068359375,3373.47998046875,3373.47998046875,224756100,0
2015-07-21,3382.9599609375,3383.56005859375,3366.2099609375,3371.409912109375,3371.409912109375,202014200,0
2015-07-22,3369.159912109375,3377.64990234375,3352.56005859375,3359.169921875,3359.169921875,190123400,0
2015-07-23,3371.1201171875,3375.969970703125,3356.3701171875,3356.3701171875,3356.3701171875,333250900,0
2015-07-24,3360.860107421875,3366.52001953125,3346.860107421875,3352.64990234375,3352.64990234375,255771100,0
2015-07-27,3348.820068359375,3348.830078125,3311.39990234375,3313.419921875,3313.419921875,233175200,0
2015-07-28,3305.260009765625,3306.6298828125,3277.1298828125,3281.090087890625,3281.090087890625,323690700,0
2015-07-29,3286.75,3299.9599609375,3275.320068359375,3284.0,3284.0,209558300,0
2015-07-30,3282.199951171875,3284.2900390625,3248.35009765625,3249.52001953125,3249.52001953125,386411200,0
2015-07-31,3214.639892578125,3217.860107421875,3184.570068359375,3202.5,3202.5,725642700,0
2015-08-03,3205.590087890625,3217.1298828125,3186.340087890625,3192.7900390625,3192.7900390625,376860600,0
2015-08-04,3192.330078125,3193.5400390625,3175.070068359375,3191.0400390625,3191.0400390625,518830800,0
2015-08-05,3179.169921875,3198.320068359375,3164.6201171875,3191.389892578125,3191.389892578125,431119400,0
2015-08-06,3194.389892578125,3196.659912109375,3180.8701171875,3196.659912109375,3196.659912109375,226060100,0
2015-08-11,3213.489990234375,3214.5,3148.340087890625,3153.06005859375,3153.06005859375,644175100,0
2015-08-12,3099.6298828125,3100.85009765625,3057.6201171875,3061.489990234375,3061.489990234375,503535200,0
2015-08-13,3068.909912109375,3103.489990234375,3063.60009765625,3091.780029296875,3091.780029296875,331804700,0
2015-08-14,3094.89990234375,3118.52001953125,3092.580078125,3114.25,3114.25,228618200,0
2015-08-17,3114.56005859375,3116.360107421875,3067.35009765625,3067.35009765625,3067.35009765625,269270700,0
2015-08-18,3076.860107421875,3084.830078125,3049.64990234375,3049.64990234375,3049.64990234375,302232500,0
2015-08-19,3056.169921875,3063.239990234375,3039.139892578125,3041.25,3041.25,364260000,0
2015-08-20,3023.469970703125,3027.35009765625,3000.929931640625,3009.780029296875,3009.780029296875,280388500,0
2015-08-21,2961.580078125,2979.639892578125,2947.8701171875,2971.010009765625,2971.010009765625,348683700,0
2015-08-24,2918.239990234375,2918.8701171875,2843.389892578125,2843.389892578125,2843.389892578125,424998800,0
2015-08-25,2809.550048828125,2926.760009765625,2808.31005859375,2886.2900390625,2886.2900390625,594979100,0
2015-08-26,2859.659912109375,2905.2900390625,2847.169921875,2873.0,2873.0,373092100,0
2015-08-27,2915.179931640625,2952.8701171875,2909.780029296875,2945.429931640625,2945.429931640625,439281700,0
2015-08-28,2984.550048828125,2999.080078125,2947.3701171875,2955.93994140625,2955.93994140625,338757700,0
2015-08-31,2987.179931640625,2987.179931640625,2921.43994140625,2921.43994140625,2921.43994140625,335994700,0
2015-09-01,2915.530029296875,2930.18994140625,2878.110107421875,2882.77001953125,2882.77001953125,270394000,0
2015-09-02,2897.760009765625,2906.669921875,2877.489990234375,2878.1298828125,2878.1298828125,252188900,0
